iso_code;year;drought;earthquakes;volcanic_activity;floods;storms;landslides;wildfires;extreme_temperatures;disasters
COD;2020;0;0;0;0;1200;0;0;0;12,743,334
DNK;1950;0;0;0;0;0;0;0;0;0
DNK;1960;0;300;0;0;0;60;0;0;436.8
DNK;1970;50000;0;0;0;0;0;0;0;56000
DNK;1980;30000;0;0;0;0;14-Aug;0;0;30014.8
DNK;1990;0;0;0;10600;0;0;0;0;14136.7
DNK;2000;0;1735.5;0;3137;7500;0;0;0;26954
DNK;2010;0;26;0;67125.3;0;0;5700.3;0;76892.4
DNK;2020;0;0;96,134,664;135807.33;0;0;0;0;231970
DJI;1950;0;0;0;0;0;0;0;0;0
DJI;1960;0;0;0;0;0;0;0;0;0
DJI;1970;0;0;0;0;0;0;0;0;0
DJI;1980;0;0;0;0;0;0;0;0;0
DJI;1990;0;0;0;0;0;0;0;0;0
DJI;2000;0;0;0;0;0;0;0;0;0
DJI;2010;0;0;0;0;0;0;0;0;0
DJI;2020;0;0;0;0;0;0;0;0;1
DMA;1950;0;0;0;0;0;0;0;0;0
DMA;1960;0;0;0;0;0;0;0;0;0
DMA;1970;0;0;0;18500;0;0;0;0;19700
DMA;1980;25500;0;0;25200;0;0;0;0;50730
DMA;1990;20000;0;0;12000;77.5;0;0;0;34077.5
DMA;2000;53275;0;0;9850;0;0;0;0;63275
DMA;2010;20025.8;0;0;25000;2500;0;0;0;47525.8
DMA;2020;64056;0;0;36,666,668;0;0;0;0;100,722,664
DOM;1950;0;0;0;0;0;0;0;0;0
DOM;1960;0;0;0;0;0;0;0;0;0
DOM;1970;0;0;0;0;7000;0;0;0;7210
DOM;1980;0;0;0;0;1071;0;0;0;1071
DOM;1990;0;0;0;0;40;0;0;0;571.6
DOM;2000;0;10;0;0;750;0;0;0;763
DOM;2010;0;0;0;0;9943.7;0;0;0;10022.7
DOM;2020;0;0;0;0;0;0;0;0;0
ECU;1950;0;0;0;0;0;0;0;0;0
ECU;1960;24000;0;0;0;700;0;0;0;25294.2
ECU;1970;0;0;0;100;120000;0;0;0;155500
ECU;1980;0;0;0;134204.5;200;0;0;0;134404.5
ECU;1990;0;0;0;2000;88030;0;0;0;102442.5
ECU;2000;0;200;0;11096.5;18518.3;0;0;0;30026.9
ECU;2010;0;0;0;287001;14114.7;0;0;0;303314.3
ECU;2020;0;0;0;70;484858.34;0;0;0;484928.34
EGY;1950;0;0;0;0;0;0;0;0;0
EGY;1960;60000;0;0;7000;0;0;0;0;67050
EGY;1970;0;6000;2000;15300;0;0.6;0;0;31611.8
EGY;1980;0;0;0;94000;0;600;80;0;109684.6
EGY;1990;3400;2295;2200;17190.7;0;7500;0;0;42741.7
EGY;2000;10750;0;49767;41348;0;15;0;0;103626.7
